Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,149000.0,149000.0,131000.0,133000.0,101687.6328125,11288332
2016-01-31,132000.0,153000.0,126500.0,147500.0,112773.84375,10251020
2016-02-29,147500.0,159500.0,143500.0,152500.0,116596.6875,10301411
2016-03-31,152500.0,155000.0,142000.0,143500.0,109715.5625,7926098
2016-04-30,142000.0,144000.0,131500.0,139500.0,106657.3125,9731425
2016-05-31,137500.0,144000.0,133500.0,135500.0,103599.03125,12447763
2016-06-30,136500.0,139500.0,128500.0,132000.0,101654.359375,12173772
2016-07-31,132500.0,138000.0,129500.0,133000.0,102424.4765625,10540385
2016-08-31,133000.0,142000.0,131500.0,135500.0,104349.7421875,10375055
2016-09-30,135500.0,141500.0,131000.0,140000.0,107815.234375,9719714
2016-10-31,141000.0,141500.0,129000.0,133000.0,102424.4765625,10564720
2016-11-30,133000.0,148000.0,132000.0,146000.0,112435.8828125,8047692
2016-12-31,146000.0,155500.0,139000.0,139500.0,109707.8515625,9430966
2017-01-31,140000.0,151500.0,135500.0,149500.0,117572.203125,8920844
2017-02-28,149500.0,171000.0,140000.0,157500.0,123863.71875,13885644
2017-03-31,156500.0,157000.0,136500.0,144000.0,113246.8125,12552830
2017-04-30,144000.0,173000.0,143000.0,163000.0,128189.125,13326549
2017-05-31,162500.0,170000.0,157000.0,159500.0,125436.5625,9282685
2017-06-30,158500.0,164000.0,144500.0,145000.0,114750.4609375,12897025
2017-07-31,145000.0,151000.0,138500.0,140500.0,111189.2265625,10120323
2017-08-31,141000.0,151000.0,133000.0,150500.0,119103.03125,10852741
2017-09-30,150500.0,162000.0,146500.0,161000.0,127412.5703125,10877800
2017-10-31,159000.0,166500.0,153000.0,164500.0,130182.4140625,10880854
2017-11-30,164500.0,165500.0,148000.0,156000.0,123455.6484375,8525536
2017-12-31,156000.0,167500.0,145500.0,162000.0,130751.0390625,12990959
2018-01-31,161500.0,164000.0,152000.0,161500.0,130347.46875,9078933
2018-02-28,161500.0,161500.0,142500.0,143500.0,115819.59375,11411614
2018-03-31,144500.0,165500.0,144000.0,160000.0,129136.8203125,12220708
2018-04-30,160000.0,163000.0,136000.0,139000.0,112187.625,11539982
2018-05-31,138500.0,144000.0,123000.0,125500.0,101291.7109375,12451114
2018-06-30,125000.0,131500.0,118000.0,129500.0,105346.359375,9794773
2018-07-31,130000.0,130500.0,122000.0,125000.0,101685.6875,7960303
2018-08-31,124500.0,137000.0,123500.0,129500.0,105346.359375,8007664
2018-09-30,130000.0,130000.0,102500.0,106500.0,86636.2109375,12778244
2018-10-31,106500.0,110500.0,92500.0,107000.0,87042.9453125,18634890
2018-11-30,108500.0,124500.0,105500.0,118500.0,96398.0234375,12612735
2018-12-31,118500.0,132000.0,113000.0,129500.0,108047.5546875,12840421
2019-01-31,129500.0,130000.0,118500.0,126500.0,105544.53125,10278056
2019-02-28,126500.0,129000.0,117000.0,119500.0,99704.1171875,10837859
2019-03-31,120000.0,140500.0,117500.0,138500.0,115556.640625,12400505
2019-04-30,138500.0,140500.0,125000.0,134500.0,112219.2734375,13022972
2019-05-31,134000.0,143500.0,132500.0,140000.0,116808.1796875,7738160
2019-06-30,141500.0,142500.0,126500.0,126500.0,106295.7421875,11677273
2019-07-31,126500.0,132500.0,123000.0,128500.0,107976.3046875,11835317
2019-08-31,128000.0,136500.0,125500.0,134000.0,112597.8671875,10405909
2019-09-30,134000.0,134000.0,120000.0,122000.0,102514.46875,11660438
2019-10-31,121500.0,126000.0,120000.0,121000.0,101674.1953125,13907036
2019-11-30,121000.0,125000.0,117500.0,120500.0,101254.0390625,24707303
2019-12-31,120500.0,133000.0,110000.0,125000.0,107672.1875,21724770
2020-01-31,123000.0,137500.0,114000.0,115000.0,99058.4140625,19525736
2020-02-29,116000.0,116500.0,65000.0,88700.0,76404.171875,50502177
2020-03-31,88500.0,103500.0,83000.0,93600.0,80624.921875,41304577
2020-04-30,93600.0,99600.0,90500.0,98000.0,84414.9921875,29451686
2020-05-31,98000.0,115000.0,97000.0,97700.0,84156.5859375,35327068
2020-06-30,98500.0,130500.0,98000.0,126500.0,108964.25,50392410
2020-07-31,126500.0,182000.0,123500.0,176500.0,152033.125,78777457
2020-08-31,178500.0,191500.0,165500.0,178500.0,153755.890625,51843561
2020-09-30,178500.0,188500.0,156500.0,164500.0,141696.59375,42203538
2020-10-31,166000.0,188500.0,166000.0,181500.0,156340.0,41595534
2020-11-30,183000.0,199000.0,179500.0,192000.0,165384.453125,40068950
2020-12-31,192000.0,289000.0,192000.0,229000.0,200428.453125,98505600
2021-01-31,229000.0,253000.0,224500.0,237000.0,207430.3125,30116099
2021-02-28,237000.0,249000.0,211000.0,218000.0,190800.859375,23179604
2021-03-31,220500.0,238500.0,211000.0,212000.0,185549.484375,20693301
2021-04-30,212000.0,236000.0,211000.0,235000.0,205679.859375,22902066
2021-05-31,235000.0,249000.0,232000.0,239500.0,209618.40625,20470541
2021-06-30,238500.0,243500.0,218000.0,218000.0,191595.875,17183693
2021-07-31,218000.0,225000.0,200000.0,212500.0,186762.046875,14350998
2021-08-31,214000.0,218500.0,197500.0,200000.0,175776.046875,11799356
2021-09-30,198000.0,215000.0,189000.0,208000.0,182807.09375,14582859
2021-10-31,208000.0,220000.0,194500.0,195500.0,171821.078125,15678239
2021-11-30,198500.0,217000.0,196500.0,209000.0,183685.953125,13280620
2021-12-31,211500.0,217500.0,185500.0,186500.0,167033.265625,11892548
2022-01-31,186500.0,195500.0,171000.0,174000.0,155838.015625,11556422
2022-02-28,174000.0,183000.0,163000.0,180500.0,161659.546875,12747009
2022-03-31,178000.0,191000.0,174500.0,186000.0,166585.46875,16174933
2022-04-30,184000.0,189500.0,176000.0,189500.0,169720.109375,11530639
2022-05-31,189500.0,189500.0,168000.0,180500.0,161659.546875,17438131
2022-06-30,181500.0,198500.0,172000.0,196000.0,176490.5625,19363851
2022-07-31,196000.0,199500.0,184000.0,196000.0,176490.5625,16375947
2022-08-31,193500.0,203500.0,174000.0,176500.0,158931.53125,16793348
2022-09-30,176500.0,184000.0,160000.0,164500.0,148125.984375,16649893
2022-10-31,163500.0,179500.0,160500.0,169000.0,152178.09375,15535503
2022-11-30,172000.0,173000.0,150500.0,151000.0,135969.765625,11387686
2022-12-31,154000.0,177600.0,154000.0,170000.0,159121.109375,8864094
2023-01-31,169200.0,180000.0,168700.0,176300.0,165017.9375,1296286
2023-02-28,176300.0,184900.0,170500.0,184500.0,172693.1875,11690493
2023-03-31,184600.0,207500.0,182300.0,197500.0,184861.265625,16892557
2023-04-30,197500.0,211500.0,197400.0,200000.0,187201.296875,12759654
2023-05-31,199800.0,209000.0,194000.0,206500.0,193285.34375,11549575
2023-06-30,207500.0,210000.0,194000.0,196000.0,184802.9375,13134828
2023-07-31,195200.0,199600.0,182600.0,189100.0,178297.109375,10112592
2023-08-31,188000.0,196000.0,184400.0,191100.0,180182.84375,6720427
2023-09-30,191100.0,193200.0,169300.0,169700.0,161259.328125,9357553
2023-10-31,170800.0,186500.0,169400.0,184300.0,175133.15625,8431136
2023-11-30,183300.0,203500.0,180700.0,203500.0,193378.1875,8808029
2023-12-31,203500.0,203500.0,179800.0,194600.0,184920.84375,10684615
2024-01-31,193900.0,261000.0,193500.0,250500.0,238040.453125,47239276
2024-02-29,255500.0,260000.0,232000.0,233000.0,229493.6875,22909204
2024-03-31,234500.0,254500.0,214500.0,251000.0,249265.96875,24057765
2024-04-30,249000.0,277500.0,235000.0,253000.0,251252.15625,17872464
2024-05-31,257500.0,299500.0,256500.0,295000.0,292962.0,18953064
2024-06-30,292000.0,296000.0,247500.0,251500.0,251500.0,14807674
2024-07-26,248500.0,250500.0,232000.0,243500.0,243500.0,2662741
