Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,38700.0,47050.0,36850.0,46150.0,40044.33203125,301783852
2019-01-31,46650.0,47550.0,44250.0,45100.0,39133.24609375,194923203
2019-02-28,45100.0,47000.0,43100.0,44650.0,38742.79296875,223260605
2019-03-31,45200.0,47600.0,43800.0,45850.0,40097.015625,209113436
2019-04-30,45850.0,46150.0,40850.0,42500.0,37167.35546875,271585071
2019-05-31,42950.0,47000.0,42500.0,47000.0,41102.72265625,194668243
2019-06-30,47350.0,47550.0,44350.0,45350.0,39969.3515625,183771791
2019-07-31,44900.0,45500.0,42500.0,44000.0,38779.5234375,205260271
2019-08-31,44850.0,49650.0,43100.0,49050.0,43230.3671875,207963296
2019-09-30,48900.0,52500.0,47350.0,50400.0,44742.12109375,199451656
2019-10-31,50600.0,53800.0,50200.0,50300.0,44653.34375,223956592
2019-11-30,50900.0,57300.0,49000.0,55800.0,49535.92578125,264807425
2019-12-31,55800.0,62800.0,54600.0,56400.0,50390.546875,319891636
2020-01-31,55500.0,62000.0,54200.0,54200.0,48424.95703125,360007160
2020-02-29,54300.0,58000.0,42300.0,47750.0,42662.21875,778330384
2020-03-31,47450.0,52000.0,45350.0,50000.0,45002.30859375,424101937
2020-04-30,50000.0,51200.0,47200.0,50700.0,45632.3359375,374264673
2020-05-31,50800.0,57000.0,49900.0,52800.0,47522.4453125,517439261
2020-06-30,53400.0,60400.0,52100.0,57900.0,52461.1015625,437314531
2020-07-31,57800.0,59900.0,54000.0,54000.0,48927.45703125,401697954
2020-08-31,54100.0,61300.0,54100.0,58200.0,52732.92578125,426302298
2020-09-30,58200.0,61500.0,56600.0,56600.0,51598.6953125,327557687
2020-10-31,56400.0,69500.0,56000.0,66700.0,60806.2421875,496431342
2020-11-30,67100.0,81300.0,67100.0,81000.0,73842.6484375,529998852
2020-12-31,81000.0,96800.0,80200.0,82000.0,76635.6015625,765471247
2021-01-31,81700.0,86400.0,81000.0,82500.0,77102.90625,432953240
2021-02-28,82500.0,85300.0,80600.0,81400.0,76074.875,387612356
2021-03-31,82500.0,86200.0,81500.0,81500.0,76506.796875,372938171
2021-04-30,81000.0,83500.0,78400.0,80500.0,75568.0546875,352211074
2021-05-31,80500.0,83000.0,79600.0,80700.0,75755.8046875,333099465
2021-06-30,80500.0,81300.0,78100.0,78500.0,74016.8515625,275886253
2021-07-31,79200.0,83300.0,72500.0,76700.0,72319.6328125,499862582
2021-08-31,76700.0,77800.0,73700.0,74100.0,69868.125,281233337
2021-09-30,73900.0,74000.0,68300.0,69800.0,66126.5625,300193653
2021-10-31,70200.0,76200.0,69600.0,71300.0,67547.6171875,313117871
2021-11-30,72000.0,80800.0,71600.0,78300.0,74179.234375,343905413
2021-12-31,79400.0,79800.0,71200.0,73300.0,69755.9609375,267210370
2022-01-31,73300.0,75800.0,71300.0,71900.0,68423.65625,161403414
2022-02-28,71900.0,73100.0,68700.0,69600.0,66234.859375,244959021
2022-03-31,69500.0,69600.0,64500.0,67400.0,64472.77734375,309880731
2022-04-30,66600.0,68800.0,64900.0,67400.0,64472.77734375,310129252
2022-05-31,67400.0,67400.0,56800.0,57000.0,54524.45703125,428473209
2022-06-30,56900.0,62600.0,55700.0,61400.0,59092.49609375,301826933
2022-07-31,61000.0,61900.0,58200.0,59700.0,57456.37890625,251681339
2022-08-31,58700.0,58900.0,51800.0,53100.0,51104.421875,288615372
2022-09-30,53100.0,60100.0,53100.0,59400.0,57560.4609375,326537635
2022-10-31,59900.0,63200.0,58100.0,62200.0,60273.74609375,290682036
2022-11-30,63100.0,63200.0,55300.0,55300.0,53587.43359375,234543029
2022-12-31,55500.0,65000.0,54500.0,61400.0,59870.52734375,205479356
2023-01-31,62600.0,64000.0,60200.0,60600.0,59090.44921875,25872422
2023-02-28,60600.0,64000.0,59000.0,64000.0,62405.75390625,273644150
2023-03-31,64000.0,66600.0,62300.0,65500.0,64238.25,291035766
2023-04-30,65500.0,72500.0,63600.0,71400.0,70024.5859375,269419265
2023-05-31,70900.0,73400.0,70000.0,72200.0,70809.1875,265070208
2023-06-30,72700.0,73600.0,68100.0,69800.0,68797.03125,303283444
2023-07-31,70100.0,71200.0,65800.0,66900.0,65938.703125,258464791
2023-08-31,66800.0,72900.0,66700.0,68400.0,67417.15625,283534308
2023-09-30,68400.0,70500.0,66000.0,66900.0,66283.4921875,290080133
2023-10-31,67500.0,73400.0,67300.0,72800.0,72129.125,273455511
2023-11-30,72400.0,78500.0,71100.0,78500.0,77776.6015625,254875780
2023-12-31,78500.0,79800.0,70700.0,72700.0,72371.1171875,387384335
2024-01-31,73000.0,75500.0,72000.0,73400.0,73067.953125,298955484
2024-02-29,74300.0,82500.0,71700.0,82400.0,82027.234375,448361736
2024-03-31,83200.0,86000.0,75100.0,77500.0,77500.0,484342028
2024-04-30,77600.0,81500.0,73500.0,73500.0,73500.0,421088782
2024-05-31,74400.0,82500.0,74200.0,81500.0,81500.0,351896233
2024-06-30,81500.0,88800.0,80100.0,80400.0,80400.0,415939720
2024-07-26,80700.0,81300.0,80400.0,80900.0,80900.0,14508334
